Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
שובב,שׁוֹבָב,shovav,"naughty, cheeky",7
שובבה,שׁוֹבָבָה,shovava,"naughty, cheeky",9
רגוע,רָגוּעַ,ragua‘,calm,7
רגועים,רְגוּעִים,rᵉgu‘im,calm,9
רגש,רֶגֶשׁ,regesh,feeling,6
רגשות,רְגָשׁוֹת,rᵉgashot,feelings,9
הלם,הֵלֶם,helem,shock,5
מביך,מֵבִיךְ,meviykh,embarrassing,7
מביכה,מְבִיכָה,mᵉvikha,embarrassing,8
פסימי,פֶּסִימִי,pesimi,"pessimistic (m, s)",9
פסימים,פֶּסִימִיִּים,pesimiyyim,"pessimistic (m, p)",13
אופטימי,אוֹפְּטִימִי,’optimi,"optimistic (m,s)",12
אופטימית,אוֹפְטִימִית,’optimit,"optimistic (m,s)",12
אופטימיים,אוֹפְּטִימִים,’optimim,"optimistic (m,p)",13
דוחֶה,דוֹחֶה,doḥe,repelling,6
דוחָה,דוֹחָה,doḥa,repelling,6
מופתע,מוּפְתַּע,mufta‘,I am / you m. sg. are / he / it is surprised,9
מופתעים,מוּפְתָּעִים,mufta‘im,we / you m. pl. / they m. are surprised,12
משועמם,מְשֻׁעְמָם,mᵉshu‘mam,"bored (m, s)",10
משועממת,מְשׁוּעַמֶּמֶת,mᵉshu‘ammemet,"bored (f, s)",14
משועממים,מְשֻׁעְמָמִים,mᵉshu‘mamim,"bored (m, p)",13
מדוכא,מְדֻכָּא,mᵉdukka’,"depressed (m, s)",8
מדוכאת,מְדֻכֵּאת,mᵉdukke’t,"depressed (f, s)",9
מאושר,מְאוּשָׁר,mᵉ’ushar,"happy (m, s)",9
מאושרת,מְאוּשֶׁרֶת,mᵉ’usheret,"happy (f, s)",11
מאושרים,מְאוּשָּׁרִים,mᵉ’usharim,"happy (m, p)",13
מאוהב,מְאוֹהַב,mᵉ’ohav,"in love (m, s)",8
מאוהבת,מְאֹהֶבֶת,mᵉ’ohevet,"in love (f, s)",9
מאוהבים,מְאוֹהֲבִים,mᵉ’ohavim,"in love (m, p)",11
מאוהבות,מְאֹהָבוֹת,mᵉ’ohavot,"in love (f, p)",10
להתנשק,לְהִתְנַשֵּׁק,lᵉhitnashsheq,to kiss,13
מתנשקת,מִתְנַשֶּׁקֶת,mitnashsheqet,I / you f. sg. / she / it kiss(es),13
מתנשקים,מִתְנַשְּׁקִים,mitnashqim,we / you m. pl. / they m. kiss,14
להעלב,לְהֵעָלֵב,lᵉhe‘alev,"to be offended, insulted",9
נעלב,נֶעֱלָב,ne‘elav,I am / you m. sg. are / he / it is insulted,7
נעלבים,נֶעֱלָבִים,ne‘elavim,we / you m. pl. / they m. are insulted,10
לצפות,לְצַפּוֹת,lᵉtzappot,to expect,9
מצפֶה,מְצַפֶּה,mᵉtzappe,I / you m. sg. / he / it expect(s),8
מצפָה,מְצַפָּה,mᵉtzappa,I / you f. sg. / she / it expect(s),8
להעריץ,לְהַעֲרִיץ,lᵉha‘aritz,"to admire, respect",10
מעריץ,מַעֲרִיץ,ma‘aritz,I / you m. sg. / he / it admire(s),8
מעריצה,מַעֲרִיצָה,ma‘aritza,I / you f. sg. / she / it admire(s),10
מעריצים,מַעֲרִיצִים,ma‘aritzim,we / you m. pl. / they m. admire,11
להתלהב,לְהִתְלַהֵב,lᵉhitlahev,to be enthusiastic,11
מתלהב,מִתְלַהֵב,mitlahev,I am / you m. sg. are / he / it is enthusiastic,9
מתלהבים,מִתְלַהֲבִים,mitlahavim,we / you m. pl. / they m. are enthusiastic,12
לנשק,לְנַשֵּׁק,lᵉnashsheq,to kiss,9
מנשק,מְנַשֵּׁק,mᵉnashsheq,I / you m. sg. / he / it kiss(es),9
מנשקים,מְנַשְּׁקִים,mᵉnashqim,we / you m. pl. / they m. kiss,12
לחבק,לְחַבֵּק,lᵉḥabbeq,to hug,8
מחבקת,מְחַבֶּקֶת,mᵉḥabbeqet,I / you f. sg. / she / it embrace(s),10
חיבק,חִיבֵּק,ḥibeq,he / it embraced,7
להתחבק,לְהִתְחַבֵּק,lᵉhitḥabbeq,to embrace,12
מתחבקת,מִתְחַבֶּקֶת,mitḥabbeqet,I / you f. sg. / she / it embrace(s),12
מתחבקים,מִתְחַבְּקִים,mitḥabqim,we / you m. pl. / they m. embrace,13
לנחם,לְנַחֵם,lᵉnaḥem,"to comfort, console",7
מנחם,מְנַחֵם,mᵉnaḥem,I / you m. sg. / he / it console(s),7
מנחמת,מְנַחֶמֶת,mᵉnaḥemet,I / you f. sg. / she / it console(s),9
להצטער,לְהִצְטַעֵר,lᵉhitzta‘er,to be sorry,11
מצטער,מִצְטַעֵר,mitzta‘er,I am / you m. sg. are / he / it is sorry,9
מצטערת,מִצְטַעֶרֶת,mitzta‘eret,I am / you f. sg. are / she / it is sorry,11
עומק,עוֹמֵק,‘omeq,depth,6
סרגל,סַרְגֵּל,sargel,ruler,8
למדוד,לִמְדוֹד,limdod,to measure,8
מודד,מוֹדֵד,moded,I measure (m),6
קילומטר,קִילוֹמֶטֶר,qilometer,kilometer,11
קילומטרים,קִילוֹמֵטְרִים,qilometrim,kilometers,14
סנטימטר,סֶנְטִימֶטֶר,sentimeter,centimeter,12
סנטימטרים,סֶנְטִימֵּטְרִים,sentimetrim,centimeters,16
מילימטר,מִילִימֵּטֶר,milimeter,millimeter,12
מילימטרים,מִילִימֵּטְרִים,milimetrim,millimeters,15
מטר,מֵטֶר,meter,meter,5
מטרים,מֵטְרִים,metrim,meters,8
יחידת מידה,יְחִידַת מִּדָּה,yᵉḥidat midda,unit of measurement,16
אורך,אוֹרֵךְ,’orekh,length,7
נפח,נֶפַח,nefaḥ,volume,5
רוחב,רֹחַב,roḥav,width,5
טריגונומטריה,טְרִיגוֹנוֹמֶטְרִיָּה,tᵉrigonometriya,trigonometry,21
משטח,מִשְׁטָח,mishtaḥ,surface,8
גובה,גּוֹבַה,govah,height,7
מחומש,מְחוּמָשׁ,mᵉḥumash,pentagon,9
מחומשים,מְחוּמָשִׁים,mᵉḥumashim,pentagons,12
משושה,מְשׁוּשֶׁה,mᵉshushe,hexagon,10
משושים,מְשׁוּשִׁים,mᵉshushim,hexagons,11
גיאומטריה,גֵּיאוֹמֶטְרִיָּה,ge’ometriya,geometry,17
מקבילית,מַקְבִּילִית,maqbilit,parallelogram,12
זווית,זָּווִית,zavvit,angle,8
זוויות,זָווִיוֹת,zavviyot,angles,9
צלע,צֶלַע,tzla‘ot,edge,5
צלעות,צְלָעוֹת,tzla‘ot,edges,8
מקביל,מַקְבִּיל,maqbil,"parallel, (m, s)",9
מקבילה,מַקְבִּילָה,maqbila,"parallel, (f, s)",11
מקבילים,מַקְבִּילִים,maqbilim,"parallel (m, p)",12
טרפז,טְרַפֵּז,trappez,trapeze,8
מעוין,מְעוּיָן,mᵉ‘uyan,rhombus,8
מעוינים,מַעַיָנִים,mᵉ‘uyanym,rhombuses,10
אליפסה,אֶלִיפְּסָה,’elipᵉsa,ellipse,11
מרובע,מְרֻבָּע,mᵉrubba‘,quadrilateral,8
מרובעים,מְרֻבָּעִים,mᵉrubba‘im,quadrilaterals,11
קודקוד,קָדקוֹד,qadqod,vertex,7
קודקודים,קוֹדְקוֹדִים,qodqodim,vertices,12
עיגול,עִיגּוּל,‘igul,circle,8
עיגולים,עִיגּוּלִים,‘igulim,circles,11
משולש,מְשׁוּלָש,mᵉshulash,triangle,9
משולשים,מְשׁוּלָשִׁים,mᵉshulashim,triangles,13
צורה,צוּרָה,tzura,shape,6
צורות,צוּרוֹת,tzurot,shapes,7
מלבן,מַלְבֵּן,malben,rectangle,8
מלבנים,מַלְבֵּנִים,malbenim,rectangles,11
קו,קַו,qav,line,3
קוים,קַווִים,qavvim,lines,7
ריבוע,רִיבּוּעַ,ribua‘,square,9
ריבועים,רִבּוּעִים,ribbu‘im,squares,10
הפתעה,הַפְתָּעָה,hafta‘a,surprise,10
עדיפות,עֲדִיפוּת,‘adifut,preference,9
זהות,זֶהוּת,zehut,identity,6
זהויות,זֶהֻיּוֹת,zehuyyot,identities,9
מזל,מַזָּל,mazzal,luck,6
יופי,יוֹפִי,yofi,beauty,6
חשיבות,חָשִׁיבוּת,ḥashivut,importance,10
טובה,טוֹבָה,tova,"favour, kindness",6
הבדל,הֶבְדֵּל,hevdel,difference,8
הבדלים,הֶבְדֵּלִים,hevdelim,differences,11
תשוקה,תְּשׁוּקָה,tshuqa,desire,10
חוש,חוּשׁ,ḥush,sense,5
חושים,חוּשִׁים,ḥushim,senses,8
תכונה,תְּכוּנָה,tkhuna,"trait, quality",9
תכונות,תְּכוּנוֹת,tkhunot,"traits, qualities",10
בסיס,בָּסִיס,basis,basis,7
שקר,שֶּׁקֶר,sheqer,"lie, falsehood",7
שקרים,שְׁקָרִים,shqarim,"lies, falsehoods",9
ניצחון,נִיצָחוֹן,nitzaḥon,victory,9
אמת,אֱמֶת,’emet,truth,5
נפילה,נְפִילָה,nᵉfila,fall,8
זיכרון,זִכָּרוֹן,zikkaron,memory,9
זכרונות,זִכְרוֹנוֹת,zikhronot,memories,11
הפסד,הֶפְסֵד,hefsed,loss,7
הנאה,הֲנָאָה,hana’a,enjoyment,7
רצח,רֶצַח,retzaḥ,murder,5
בצל,בָּצָל,batzal,onion,6
צל,צֵל,tzel,shadow,3
חיוך,חִיוּךְ,ḥiyukh,smile,7
ביטוי,בִּיטּוּי,bituy,expression,9
לרצח,לִרְצֹחַ,lirtzoaḥ,to murder,8
סכנה,סַכָּנָה,sakkana,danger,8
שנאה,שִׁנְאָה,sin’a,hatred,8
מסורת,מָסוֹרֶת,masoret,tradition,8
גישה,גִּישָׁה,gisha,"approach, attitude",8
הומור,הוּמוֹר,humor,humor,7
פחד,פַּחַד,paḥad,fear,6
חתימה,חֲתִימָה,ḥatima,signature,8
סמל,סֶּמֶל,semel,symbol,6
כוח,כֹּחַ,koaḥ,"power, strength",5
כוחות,כֹּחוֹת,koḥot,"powers, strengths",7
ספק,סָפֵק,safeq,doubt,5
עמדה,עֶמְדָּה,‘emda,position,8
עמדות,עֲמָדוֹת,‘amadot,positions,8
אחריות,אַחְרָיוּת,’aḥrayut,responsibility,10
ניסיון,נִסָּיוֹן,nissayon,experience,9
מציאות,מְצִיאוּת,mᵉtzi’ut,reality,9
נזק,נֵזֶק,nezeq,damage,5
סוד,סוֹד,sod,secret,4
סודות,סוֹדוֹת,sodot,secrets,7
מקור,מָקוֹר,maqor,source,6
כיוון, כִּוּוּן,kivvun,direction,9
התנהגות,הִתְנַהֲגוּת,hitnahagut,behavior,12
רשות,רְשׁוּת,rᵉshut,permission,7
אופי,אוֹפִי,’ofi,character,6
תועלת,תּוֹעֶלֶת,to‘elet,"use, benefit",9
כבוד,כָּבוֹד,kavod,"honor, respect",7
מאמץ,מַאֲמָץ,ma’amatz,"effort, strain",7
מאמצים,מַּאֲמַצִּים,ma’amatztzim,efforts,12
תשומת לב,תְּשׁוּמַת לֵּב,tshumat lev,attention,15
לסרב,לְסָרֵב,lᵉsarev,to refuse,7
לאהוב,לֶאֱהֹב,le’ehov,to love,7
להחמיץ,לְהַחְמִיץ,lᵉhaḥmitz,to miss,10
לגרום,לִגְרֹם,ligrom,to cause,7
לשקול,לִשְׁקוֹל,lishqol,to weigh,9
להגיש,לְהַגִּישׁ,lᵉhaggish,"to submit, to serve (food)",10
לחשוב,לַחְשׁוֹב,laḥshov,to think,9
להישאר,לְהִישָׁאֵר,lᵉhisha’er,to stay,11
לִבנות,לִבְנוֹת,livnot,to build,8
לפגוש,לִפְגוֹשׁ,lifgosh,to meet,9
לעצור,לַעֲצוֹר,la‘atzor,to stop,8
לעזוב,לַעֲזוֹב,la‘azov,to leave,8
לזכור,לִזְכּוֹר,lizkor,to remember,9
לשבור,לִשְׁבֹּר,lishbor,to break,9
להשתמש,לְהִשְׁתַּמֵּשׁ,lᵉhishtammesh,to use,15
לטוס,לָטוּס,latus,to fly (in a plane),6
לקרוא,לִקְרוֹא,liqro’,to read,8
להתאושש,לְהִתְאוֹשֵׁשׁ,lᵉhit’oshesh,to recover,14
להפסיד,לְהַפְסִיד,lᵉhafsid,to lose,10
להגיב,לְהַגִּיב,lᵉhaggiv,"to react, to respond",9
להסביר,לְהַסְבִּיר,lᵉhasbir,to explain,11
למות,לָמוּת,lamut,to die,6
להבין,לְהָבִין,lᵉhavin,to understand,8
להרגיש,לְהָרְגִּישׁ,lᵉhargish,to feel,12
לחכות,לְחַכּוֹת,lᵉḥakkot,to wait,9
להסכים,לְהַסְכִּים,lᵉhaskim,to agree,11
לסיים,לְסַיֵּם,lᵉsayyem,to finish,8
לפתח,לְפַתֵּחַ,lᵉfatteaḥ,to develop,9
לנצח,לְנַצֵּחַ,lᵉnatztzeaḥ,to win,9
לאפשר,לְאַפְשֵׁר,lᵉ’afsher,to allow,10
לענות,לַעֲנוֹת,la‘anot,"to answer, to reply",8
לכסות,לְכַסּוֹת,lᵉkhassot,to cover,9
להשפיע,לְהַשְׁפִּיעַ,lᵉhashpia‘,to influence,13
להמשיך,לְהַמְשִיךְ,lᵉhamᵉshiykh,to continue,11
להאמין,לְהַאֲמִין,lᵉha’amin,to believe,10
להגדיל,לְהַגְדִּיל,lᵉhagdil,"to increase, to enlarge",11
להגדיר,לְהַגְדִּיר,lᵉhagdir,to define,11
לשפר,לְשַׁפֵּר,lᵉshapper,to improve,9
פניית פרסה,פְּנִיַּת פַּרְסָה,pᵉniyyat parsa,U-turn,18
חלון חדר אורחים,חַלוֹן חֶדֶר אוֹרְחִים,ḥalon ḥeder ’orḥim,guest room window,22
חלונות חדר אורחים,חַלּוֹנוֹת חֶדֶר אוֹרְחִים,ḥallonot ḥeder ’orḥim,guest room windows,26
ראש ממשלה,רֹאשׁ מֶּמְשָׁלָה,ro’sh memshala,prime minister,17
משרד ראש הממשלה,מִשׁרָד רֹאשׁ הַמֶּמְשָׁלָה,mishrad ro’sh hamemshala,the prime minister's office,27
עוגת יום הולדת,עוּגַת יוֹם הֻלֶּדֶת,‘ugat yom hulledet,birthday cake,20
מברשת שיניים,מִבְרֶשֶׁת שִּׁנַּיִים,mivreshet shinnayim,toothbrush,22
מברשות שיניים,מִבְרָשׁוֹת שִׁנַּיִם,mivrashot shinnayim,toothbrushes,21
סכין גילוח,סַכִּין גִּלּוּחַ,sakkin giluaḥ,razor,17
תיבת דואר,תֵּבַת דֹּאַר,tevat do’ar,mailbox,13
משחת שיניים,מִשְׁחַת שִׁנַּיִם,mishḥat shinnayim,toothpaste,18
ארגז כלים,אַרְגַּז כֵּלִים,’argaz kelim,tool box,16
אוצר מילים,אוֹצַר מִּילִים,’otzar milim,vocabulary,15
פסק זמן,פֶּסֶק זְמַן,peseq zman,"timeout, break, rest",12
פסקי זמן,פִּסְקֵי זְמַן,pisqei zᵉman,"timeouts, breaks, rests",14
בית מלאכה,בֵּית מְּלָאכָה,beit mᵉla’kha,workshop,15
בתי מלאכה,בָּתֵּי מְלָאכָה,battei mᵉla’kha,workshops,16
שעון עצר,שָׁעוֹן עֶצֶר,sha‘on ‘etzer,stopwatch,13
שעוני עצר,שָׁעוֹנֵי עֵצֶר,sha‘onei ‘etzer,stopwatches,15
מגדל שמירה,מִגְדַּל שְׁמִירָה,migdal shmira,guard tower,18
מגדלי שמירה,מִגְדְּלֵי שְׁמִירָה,migdᵉlei shmira,guard towers,20
נהג מונית,נַהַג מוֹנִית,nahag monit,taxi driver,13
שומר ראש,שׁוֹמֵר רֹאשׁ,shomer ro’sh,bodyguard,13
שומרי ראש,שׁוֹמְרֵי רֹאשׁ,shomᵉrei ro’sh,bodyguards,15
חגורת בטיחות,חֲגוֹרַת בְּטִיחוּת,ḥagorat btiḥut,safety belt,19
חגורות בטיחות,חֲגוֹרוֹת בְּטִיחוּת,ḥagorot bitḥon,safety belts,20
תולעת ספרים,תוֹלַעַת סְפָרִים,tola‘at sfarim,bookworm,17
כלִי נשק,כְּלִי נֶּשֶׁק,kli hannesheq,weapon,14
כלֵי נשק,כְּלֵי נֶשֶׁק,klei nesheq,weapons,13
שטיפת מוח,שְׁטִיפַת מוֹחַ,shtifat moaḥ,brainwashing,15
הפסקת אוכל,הַפְסָקַת אוֹכֵל,hafsaqat ’okhel,lunch break,16
לוּ,לוּ,lu,if (haven't/can't happen),3
אִילו,אִילוּ,’ilu,if (haven't/can't happen),6
לולא,לוּלֵא,lule’,If not,6
אילולא,אִלּוּלֵא,’illule’,If not,9
הייתי צריך,הָיִיתִי צָרִיךְ,hayiti tzariykh,I should have,16
היה צריך,הָיָה צָרִיךְ,haya tzariykh, he should have,13
היינו צריכים,הָיִינוּ צְרִיכִים,hayinu tzrikhim,we should have,18
הייתי יכול,הָיִיתִי יָכוֹל,hayiti yakhol,I could have,15
היינו יכולים,הָיִינוּ יָכוֹלִים,hayinu yakholim,we could have,18
היו יכולים,הָיוּ יָכוֹלִים,hayu yakholim,they could have,15
הייתי,הָיִיתִי,hayiti,I was,8
הייתָ,הָיִיתָ,hayita,you (m) were,7
הייתְ,הָיִיתְ,hayiyt,you (f) were,7
היה,הָיָה,haya, he was,5
הייתה,הָיִיתָה,hayita,she was,8
היינו,הָיִינוּ,hayinu,we were,8
הייתם,הָיִיתֶם,hayitem,"you (m, p) were",8
הייתן,הָיִיתֶן,hayiten,"you (f,p) were",8
היו,הָיוּ,hayu,they were,5
לב,לֵב,lev,heart,3
לבבות,לְבָבוֹת,lᵉvavot,hearts,8
הריון,הֵרָיוֹן,herayon,pregnancy,8
הריונות,הֵרָיוֹנוֹת,herayonot,pregnancies,11
מוח,מוֹחַ,moaḥ,"brain, mind",5
מוחות,מוֹחוֹת,moḥot,"brains, minds",7
מרפק,מַרְפֵּק,marpeq,elbow,8
מרפקים,מַרְפְּקִים,marpᵉqim,elbows,11
אוזן,אֹזֶן,’ozen,ear,5
אוזניים,אָזְנַיִּים,’oznayyim,ears,11
דיאטה,דִּיאֵטָה,di’eta,diet,9
דיאטות,דִּיאֵטוֹת,di’etot,diets,10
בדיאטה,בְּדִיאֵטָה,bdi’eta,on a diet,11
לחץ,לַחַץ,laḥatz,pressure,5
חולה,חוֹלֶה,ḥole,"sick, patient (m)",6
חולה,חוֹלָה,ḥola,"sick, patient (f)",6
חולים,חוֹלִים,ḥolim,"sick, patients (m)",7
חולות,חוֹלוֹת,ḥolot,"sick, patients (f)",7
מטופל,מְּטוּפָּל,mᵉtupal,patient (m),10
מטופלת,מְּטוּפֶּלֶת,mᵉtupelet,patient (f),12
מטופלים,מְטוּפָּלִים,mᵉtupalim,patients,12
מטופלות,מְטוּפָּלוֹת,mᵉtupalot,patients,12
תרופה,תְּרוּפָה,trufa,medicine,9
וירוס,וִירוּס,virus,virus,7
וירוסים,וִירוּסִים,virusim,viruses,10
כף רגל,כַּף רֶגֶל,kaf regel,foot,10
כפות רגליים,כַּפּוֹת רַגְלַיִים,kappot raglayim,feet,19
רגל,רֶגֶל,regel,"foot, leg",5
רגליים,רְגְּלַיִם,raglayim,legs,10
לשון,לָשׁוֹן,lashon,tongue,7
שן,שֵׁן,shen,tooth,4
שיניים,שִׁנַּיִם,shinnayim,teeth,9
עין,עַיִן,‘ayin,eye,5
עיניים,עֵינַיִם,‘einayim,eyes,8
זרוע,זְרוֹעַ,zroa‘,arm,7
רפואה,רְפוּאָה,rᵉfu’a,medicine (field),8
תרופה,תְּרוּפָה,trufa,medicine (remedy),9
תרופות,תְּרוּפוֹת,trufot,medicines,10
סרטן,סַרְטָן,sartan,cancer (desease),7
לידה,לֵדָה,leda,birth,5
לידות,לֵדוֹת,ledot,births,6
בריאות,בְּרִיאוּת,bri’ut,health,10
ניתוח,נִיתוּחַ,nituaḥ,surgery,8
סמים,סַמִּים,sammim,"drug, narcotic",7
אחות,אֲחוֹת,’aḥot,"sister, nurse",6
אחיות,אֲחָיוֹת,’aḥayot,"sisters, nurses",8
כאב,כְּאֵב,kᵉ’ev,pain,6
כאבים,כְּאֵבִים,kᵉ’evim,pains,9
חלום,חֲלוֹם,ḥalom,dream,6
חלומות,חֲלוֹמוֹת,ḥalomot,dreams,9
מרפאה,מִּרְפָּאָה,mirpa’a,clinic,11
דם,דָּם,dam,blood,4
שפה,שָׂפָה,safa,lip,6
שפתיים,שְּׂפָתַיִם,sfatayim,lips,11
מחלה,מַחֲלָה,maḥala,disease,7
מחלות,מַחֲלוֹת,maḥalot,diseases,8
גולגולת,גּוּלְגֹּלֶת,gulᵉgolet,skull,12
"איבר, איברים","אֵיבָר, אֵיבָרִים",’eivar,organ,17
ברך,בֶּרֶךְ,berekh,knee,7
ברכיים,בִּרְכַּיִם,birkayim,knees,11
שריר,שְׁרִיר,shᵉrir,muscle,7
כתף,כָּתֵף,katef,shoulder,6
כתפיים,כְּתֵפַיִם,ktefayim,shoulders,10
עצם,עֶצֶם,‘etzem,bone,5
עצמות,עֲצָמוֹת,‘atzamot,bones,8
אף,אַף,’af,nose,3
עור,עוֹר,‘or,skin,4
גוף,גּוּף,guf,body,5
פה,פֶּה,pe,mouth,4
גב,גַּב,gav,back (body part),4
כף יד,כַּף יָּד,kaf yad,palm (of a hand),9
כפות ידיים,כַּפּוֹת יָדַיִם,kappot yadayim,palms of hands,16
בטן,בֶּטֶן,beten,"abdomen, belly",6
פנים,פָּנִים,panim,face,7
שיער,שֵׂעָר,se‘ar,hair,6
צוואר,צַּוָּאר,tzavva’r,neck,8
ראש,רֹאשׁ,ro’sh,head,5
אצבע,אֶצְבַּע,’etzba‘,finger,8
אצבעות,אֶצְבָּעוֹת,’etzba‘ot,fingers,11
יד,יָד,yad,hand,3
ידיים,יָדַיִם,yadayim,hands,7
אלמד,אֲלַמֵּד,’alammed,I will teach,8
ילמד,יְלַמֵּד,yᵉlammed,he will teach,8
אבקש,אֲבַקֵּשׁ,’avaqqesh,"I will request, ask",9
יבקש,יְבַקֵּשׁ,yᵉvaqqesh,"he will request, ask",9
יבקשו,יְבַקְּשׁוּ,yᵉvaqshu,"they will request, ask",11
אשבור,אֶשְׁבֹּר,’eshbor,I will break,9
ישבור,יִשְׁבּוֹר,yishbor,he will break,10
נשבור,נִשְׁבֹּר,nishbor,we will break,9
אפתח,אֶפְתַּח,’eftaḥ,I will open,8
יפתחו,יִפְתְּחוּ,yiftᵉḥu,they will open,10
אשאל,אֶשְׁאַל,’esh’al,I will ask,8
נשאל,נִשְׁאַל,nish’al,we will ask,8
ישאלו,יִשְׁאָלוּ,yish’alu,they will ask,10
אגע,אֶגַּע,’egga‘,I will touch,6
תיגע,תִּגַּע,tigga‘,"you (m), she will touch",7
יגעו,יִגְּעוּ,yig‘u,they will touch,8
אצליח,אַצְלִיחַ,’atzliaḥ,I will succeed,9
יצליח,יַצְלִיחַ,yatzliaḥ,he will succeed,9
יצליחו,יַצְלִיחוּ,yatzliḥu,they will succeed,10
תסגור,תִּסְגֹּר,tisgor,"you (m), she will close",9
יסגור,יִסְגֹּר,yisgor, he will close,8
תספר,תְּסַפֵּר,tᵉsapper,"you (m), she will tell",9
יספר,יְסַפֵּר,yᵉsapper,he will tell,8
יספרו,יְסַפְּרוּ,yᵉsapru,they will tell,10
אקווה,אֲקַוֶּה,’aqavve,I will hope,8
נקווה,נְקַוֶּה,nᵉqavve,we will hope,8
ימלא,יְמַלֵּא,yᵉmalle’,he will fill,8
ימלאו,יְמַלְּאוּ,yᵉmallᵉ’u,they will fill,10
אעזור,אֶעֱזֹר,’e‘ezor,I will help,7
יעזור,יַעֲזוֹר,ya‘azor, he will help,8
תעזרו,תַּעַזְרוּ,ta‘azru,you (p) will help,10
יעזרו,יַעַזְרוּ,ya‘azru,they will help,9
אחכה,אֲחַכֶּה,’aḥakke,I will wait,8
תחכה,תְּחַכֶּה,tᵉḥakke,"you (m), she will wait",9
תחכו,תְּחַכּוּ,tḥakku,you (p) will wait,9
ינצח,יְנַצֵּחַ,yᵉnatztzeaḥ,he will win,9
ננצח,נְנַצֵּחַ,nᵉnatztzeaḥ,we will win,9
ינצחו,יְנַצְּחוּ,yᵉnatztzᵉḥu,they will win,10
נתפלל,נִתְפַּלֵּל,nitpallel,we will pray,11
יתפללו,יִתְפַּלְּלוּ,yitpalᵉlu,they will pray,13
אחליף,אַחְלִיף,’aḥalif,"I will replace, exchange, swap",8
יחליף,יַחֲלִיף,yaḥalif,he will replace,8
נחליף,נַחְלִיף,naḥlif,we will switch,8
אוכל,אוּכַל,’ukhal,I will be able to,6
תוכל,תוּכַל,tukhal,"you (m), she will be able to",6
יוכל,יוּכַל,yukhal, he will be able to,6
תוכלו,תוּכְלוּ,tukhlu,you (p) will be able to,8
אציע,אַצִּיעַ,’atztzia‘,"I will suggest, offer",8
תציע,תַּצִּיעַ,tatztzia‘,"you (m), she will suggest, offer",9
יציעו,יַצִּיעוּ,yatztzi‘u,"they will suggest, offer",9
ארגיש,אָרְגִּישׁ,’argish,I will feel,10
תרגיש,תָּרְגִּישׁ,targish,"you (m), s will feel",11
ירגישו,יָרְגִּישׁוּ,yargishu,they will feel,12
אערבב,אֲעַרְבֵּב,’a‘arbev,I will mix,10
נערבב,נְעַרְבֵּב,nᵉ‘arbev,we will mix,10
תערבבו,תְּעַרְבְּבוּ,tᵉ‘arbᵉvu,you (p) will mix,13
תמשיך,תַּמְשִׁיךְ,tamshikh,"you (m), she will continue",11
ימשיך,יַמְשִׁיךְ,yamshiykh,he will continue,10
ימשיכו,יַמְשִׁיכוּ,yamshikhu,they will continue,11
אעצור,אֶעֱצוֹר,’e‘etzor,I'll stop,8
תעצור,תַּעֲצֹר,ta‘atzor,"you (m), she will stop",8
יעצור,יַעֲצוֹר,ya‘atzor,he will stop,8
אקרא,אֶקְרָא,’eqra’,I will read,7
יקרא,יִקְרָא,yiqra’,he will read,7
יקראו,יִקְרְאוּ,yiqrᵉ’u,they will read,9
נלמד,נִלְמַד,nilmad,we will learn,7
תלַמדו,תִּלְמְדוּ,tilmᵉdu,you (p) will learn,10
ילמדו,יִלְמְדוּ,yilmᵉdu,they will learn,9
ישים,יָשִׂים,yasim,he will put,7
ישימו,יָשִׂימוּ,yasimu,they will put,9
ארצה,אֶרְצֶה,’ertze,I will want,7
תרצי,תִּרְצִי,tirtzi,you (f) will want,8
ירצו,יִרְצוּ,yirtzu,they will want,7
תמצא,תִּמְצָא,timtza’,"you (m), she will find",8
ימצאו,יִמְצְאוּ,yimtzᵉ’u,they will find,9
אקח,אֶקַּח,’eqqaḥ,I will take,6
יקח,יִקַּח,yiqqaḥ, he will take,6
יקחו,יִקְחוּ,yiqḥu,they will take,7
אשכח,אֶשְׁכַּח,’eshkaḥ,I will forget,9
תשכח,תִּשְׁכָּח,tishkaḥ,"you (m), she will forget",10
ישכחו,יִשְׁכְּחוּ,yishkᵉḥu,they will forget,11
אחזור,אֶחֱזֹר,’eḥezor,I will return,7
תחזור,תַּחֲזֹר,taḥazor,"you (m), she will return",8
יחזרו,יָחְזְרוּ,yaḥzᵉru,they will return,9
אבוד,אֶעֱבֹד,’e‘evod,I will work,7
תעבוד,תַּעֲבֹד,ta‘avod,"you (m), she will work",8
יעבוד,יַעֲבוֹד,ya‘avod,he will work,8
יעבדו,יַעַבְדוּ,ya‘avdu,they will work,9
אומַר,אוֹמַר,’omar,I will say,6
תאמרי,תֹּאמְרִי,to’mri,you (f) will say,9
נאמַר,נֹאמַר,no’mar,we will say,6
אדע,אֵדַע,’eda‘,I will know,5
תדע,תֵּדַע,teda‘,"you (m), she will know",6
נדע,נֵדַע,neda‘,we will know,5
אמכור,אֶמְכֹּר,’emkor,I will sell,8
תמכור,תִּמְכּוֹר,timkor,"you (m), she will sell",10
נמכור,נִמְכּוֹר,nimkor,we will sell,9
תקנה,תִּקְנֶה,tiqne,"you (m), she will buy",8
נקנה,נִקְנֶה,niqne,we will buy,7
